id;modification_counter;fullname;status;user_type_id;comments
1;29684;drive;Grove Computer Global;21544;Chief innovate Branding
2;75996;United orchestrate Niue;Koruna Robust;53539;Zambia application
3;66229;invoice 24/7 cyan;PCI;41873;interactive Won transmit
4;43069;Account real-time;Fantastic GB Chips;20497;indigo Loan purple
5;14448;open-source;Function-based;75201;Soft mission-critical interactive
6;4332;bluetooth Computer Bacon;Malaysian Liaison Licensed;54042;Buckinghamshire SQL
7;13792;Account back productize;Kuna;53720;Money
8;54389;Roads tan;dot-com;16045;viral
9;92063;Uganda;pricing interactive Tobago;78219;Representative Analyst ubiquitous
10;820;District Awesome;Branding TCP;48639;protocol
