id;modification_counter;category_name;description;country_id
1;8632;extranet transmitter Savings;New;28647
2;93187;Pizza;Berkshire Cotton integrate;72655
3;73952;Baby synthesize leverage;open-source navigate;93276
4;41978;Beauty technologies Indonesia;generating;79830
5;68883;Money;compress copying Fish;6510
6;48234;Plastic synergize;Brand fuchsia;2514
7;69700;ubiquitous;coherent Generic;46536
8;40356;Tanzania;virtual;30037
9;86039;invoice;improvement cross-platform;21028
10;89413;Chicken multi-byte feed;capacitor engineer;41342
