id;modification_counter;compet_exams_id;name;description;status;created_date;last_updated
1;72404;35328;deliverables Glens calculating;network Borders;92314;2022-10-23;2022-10-23
2;37266;60300;Regional;withdrawal stable;22129;2022-10-23;2022-10-23
3;78437;36540;SSL;Account Quetzal;1598;2022-10-24;2022-10-23
4;4125;39;Investor;transition;17973;2022-10-23;2022-10-24
5;31793;28035;District channels;Handcrafted Regional contingency;39329;2022-10-23;2022-10-23
6;13317;17992;monitor;Account Incredible Chips;33698;2022-10-24;2022-10-23
7;62503;61198;client-driven redundant Rustic;withdrawal;81725;2022-10-23;2022-10-23
8;19581;10886;Haiti generate interface;Borders Parks Practical;18203;2022-10-24;2022-10-23
9;88023;82185;Granite Global;Orchestrator;3020;2022-10-23;2022-10-23
10;87616;27714;Architect pixel;innovative GB;10974;2022-10-23;2022-10-23
