id;modification_counter;contest_id;no_of_mcqs;assigned_to;status;instructions;super_sme_id
1;5852;36139;56481;44837;Practical compelling Tuna;EXE;94881
2;35252;87999;83798;70527;Frozen;magnetic Bedfordshire;3674
3;2969;37383;92946;54360;SMS Object-based;Ville networks;50584
4;94497;75759;95722;24953;Accounts;deposit Loan blue;47744
5;83570;99383;97416;99317;Infrastructure;Islands, open-source;40376
6;63107;86116;29851;83978;deposit Uruguay;neural connect;22373
7;76585;69660;31571;18251;Games Gorgeous;technologies Salad moderator;47369
8;10491;85590;91615;32756;Avon;payment Courts Soft;59295
9;14965;40118;29904;32963;connecting Electronics;digital;69211
10;46861;66663;9678;84313;Avon;Forward;78838
