id;modification_counter;contest_id;noofmcqs;sub_category;assigned_to;status
1;42234;36008;Account firewall;Synchronised protocol;79161;Via AI
2;98663;35277;intangible;Sudan;75582;ivory Somalia Research
3;53558;10075;Representative rich;Nakfa Avon middleware;65375;reinvent
4;35533;2808;Product;digital;63909;seamless
5;92110;46676;Up-sized;holistic Car;80749;Direct
6;55172;53238;connecting;Toys redundant Unbranded;46893;Dynamic application Account
7;56414;72521;monitor metrics;Tonga Turkey;48458;Garden Reverse-engineered Shoes
8;12748;94047;protocol matrix value-added;Guatemala Incredible copying;84732;demand-driven
9;56397;39979;Robust array customized;Turkish;74167;Group Operative Towels
10;40606;41840;neural Zambian;Regional Macao;75535;alliance
