id;modification_counter;name;prize_name;position
1;40946;Shoes digital Senior;auxiliary Sausages;27313
2;88117;XSS;Granite Somoni;10299
3;14254;Table;Bacon Steel Dynamic;15523
4;5216;gold Slovenia harness;Customer;97970
5;26022;Borders Automated RAM;non-volatile;79913
6;10848;withdrawal South;wireless withdrawal;40695
7;65808;Nebraska Personal Bedfordshire;Investment quantify Tokelau;10532
8;34728;bus Focused revolutionize;e-commerce Credit;46480
9;50021;Causeway Refined Nevada;alarm California Assistant;23755
10;10868;up;red bluetooth Vincent;66526
