id;modification_counter;user_id;contest_id;rank;score;last_updated;created;completed;deleted
1;11188;15547;85068;91544;35790;2022-10-23;2022-10-23;false;false
2;86696;20900;71138;35983;10594;2022-10-24;2022-10-23;true;true
3;98307;87972;4457;9999;90854;2022-10-23;2022-10-23;false;true
4;5866;46209;86521;72016;66164;2022-10-24;2022-10-23;false;false
5;74201;90287;29011;69765;51515;2022-10-23;2022-10-24;false;false
6;49539;9161;59772;7564;99577;2022-10-24;2022-10-23;false;false
7;56992;71984;81019;30721;79224;2022-10-23;2022-10-23;true;false
8;22468;26812;89046;81194;57429;2022-10-23;2022-10-24;false;false
9;24892;28367;98610;2322;51250;2022-10-24;2022-10-23;false;false
10;50528;34030;76248;32875;51450;2022-10-24;2022-10-23;false;true
